# zgw	ngw1	ngw2	ngw3	ngw4	ngw5	ngw6	ngw7	ngw8	ngw9	ngw10	ngw11	ngw12	ngw13
2.53253253	0.00000000	0.00000000	0.00000000	0.00000000	0.00000070	0.00004585	0.00144399	0.02384624	0.21040560	0.95694345	2.04277034	1.73111889	0.43973926
2.53753754	0.00000000	0.00000000	0.00000000	0.00000000	0.00000063	0.00004147	0.00132369	0.02219130	0.19922321	0.92450186	2.02056598	1.76050992	0.46231807
2.54254254	0.00000000	0.00000000	0.00000000	0.00000000	0.00000056	0.00003751	0.00121308	0.02064369	0.18854823	0.89265249	1.99722944	1.78893175	0.48557802
2.54754755	0.00000000	0.00000000	0.00000000	0.00000000	0.00000050	0.00003392	0.00111140	0.01919708	0.17836376	0.86141452	1.97281621	1.81633307	0.50951044
2.55255255	0.00000000	0.00000000	0.00000000	0.00000000	0.00000045	0.00003066	0.00101796	0.01784544	0.16865302	0.83080500	1.94738284	1.84266471	0.53410473
2.55755756	0.00000000	0.00000000	0.00000000	0.00000000	0.00000040	0.00002772	0.00093213	0.01658310	0.15939942	0.80083889	1.92098678	1.86787974	0.55934834
2.56256256	0.00000000	0.00000000	0.00000000	0.00000000	0.00000036	0.00002505	0.00085331	0.01540464	0.15058653	0.77152913	1.89368613	1.89193365	0.58522675
2.56756757	0.00000000	0.00000000	0.00000000	0.00000000	0.00000032	0.00002263	0.00078094	0.01430494	0.14219817	0.74288669	1.86553949	1.91478449	0.61172345
2.57257257	0.00000000	0.00000000	0.00000000	0.00000000	0.00000029	0.00002045	0.00071453	0.01327918	0.13421840	0.71492067	1.83660577	1.93639294	0.63881993
2.57757758	0.00000000	0.00000000	0.00000000	0.00000000	0.00000026	0.00001847	0.00065359	0.01232276	0.12663156	0.68763833	1.80694403	1.95672248	0.66649568
2.58258258	0.00000000	0.00000000	0.00000000	0.00000000	0.00000023	0.00001668	0.00059769	0.01143137	0.11942227	0.66104523	1.77661327	1.97573943	0.69472820
2.58758759	0.00000000	0.00000000	0.00000000	0.00000000	0.00000020	0.00001506	0.00054644	0.01060090	0.11257549	0.63514523	1.74567229	1.99341307	0.72349302
2.59259259	0.00000000	0.00000000	0.00000000	0.00000000	0.00000018	0.00001359	0.00049946	0.00982750	0.10607647	0.60994062	1.71417953	2.00971572	0.75276374
2.59759760	0.00000000	0.00000000	0.00000000	0.00000000	0.00000016	0.00001227	0.00045640	0.00910754	0.09991086	0.58543219	1.68219289	2.02462278	0.78251201
2.60260260	0.00000000	0.00000000	0.00000000	0.00000000	0.00000014	0.00001107	0.00041695	0.00843757	0.09406461	0.56161929	1.64976962	2.03811279	0.81270764
2.60760761	0.00000000	0.00000000	0.00000000	0.00000000	0.00000013	0.00000999	0.00038082	0.00781437	0.08852407	0.53849993	1.61696618	2.05016748	0.84331859
2.61261261	0.00000000	0.00000000	0.00000000	0.00000000	0.00000012	0.00000901	0.00034774	0.00723489	0.08327595	0.51607084	1.58383808	2.06077179	0.87431106
2.61761762	0.00000000	0.00000000	0.00000000	0.00000000	0.00000010	0.00000813	0.00031745	0.00669626	0.07830734	0.49432759	1.55043977	2.06991386	0.90564954
2.62262262	0.00000000	0.00000000	0.00000000	0.00000000	0.00000009	0.00000733	0.00028973	0.00619580	0.07360573	0.47326460	1.51682456	2.07758508	0.93729688
2.62762763	0.00000000	0.00000000	0.00000000	0.00000000	0.00000008	0.00000661	0.00026438	0.00573095	0.06915897	0.45287529	1.48304444	2.08378005	0.96921437
2.63263263	0.00000000	0.00000000	0.00000000	0.00000000	0.00000007	0.00000596	0.00024118	0.00529936	0.06495531	0.43315210	1.44915008	2.08849655	1.00136183
2.63763764	0.00000000	0.00000000	0.00000000	0.00000000	0.00000007	0.00000537	0.00021997	0.00489878	0.06098340	0.41408660	1.41519066	2.09173555	1.03369772
2.64264264	0.00000000	0.00000000	0.00000000	0.00000000	0.00000006	0.00000484	0.00020058	0.00452711	0.05723226	0.39566955	1.38121383	2.09350113	1.06617917
2.64764765	0.00000000	0.00000000	0.00000000	0.00000000	0.00000005	0.00000436	0.00018286	0.00418239	0.05369130	0.37789095	1.34726564	2.09380043	1.09876219
2.65265265	0.00000000	0.00000000	0.00000000	0.00000000	0.00000005	0.00000393	0.00016667	0.00386278	0.05035031	0.36074015	1.31339046	2.09264362	1.13140167
2.65765766	0.00000000	0.00000000	0.00000000	0.00000000	0.00000004	0.00000354	0.00015187	0.00356655	0.04719947	0.34420590	1.27963093	2.09004381	1.16405158
2.66266266	0.00000000	0.00000000	0.00000000	0.00000000	0.00000004	0.00000319	0.00013837	0.00329209	0.04422932	0.32827640	1.24602794	2.08601693	1.19666505
2.66766767	0.00000000	0.00000000	0.00000000	0.00000000	0.00000003	0.00000287	0.00012603	0.00303787	0.04143077	0.31293936	1.21262054	2.08058170	1.22919450
2.67267267	0.00000000	0.00000000	0.00000000	0.00000000	0.00000003	0.00000258	0.00011477	0.00280249	0.03879509	0.29818210	1.17944595	2.07375953	1.26159175
2.67767768	0.00000000	0.00000000	0.00000000	0.00000000	0.00000003	0.00000233	0.00010450	0.00258462	0.03631391	0.28399157	1.14653955	2.06557435	1.29380821
2.68268268	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000209	0.00009512	0.00238302	0.03397919	0.27035441	1.11393482	2.05605257	1.32579494
2.68768769	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000188	0.00008657	0.00219654	0.03178325	0.25725701	1.08166333	2.04522295	1.35750282
2.69269269	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000170	0.00007877	0.00202410	0.02971872	0.24468556	1.04975480	2.03311643	1.38888271
2.69769770	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000153	0.00007166	0.00186469	0.02777858	0.23262609	1.01823704	2.01976606	1.41988553
2.70270270	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000137	0.00006518	0.00171737	0.02595609	0.22106452	0.98713599	2.00520683	1.45046247
2.70770771	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000123	0.00005927	0.00158128	0.02424483	0.20998669	0.95647572	1.98947557	1.48056506
2.71271271	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000111	0.00005389	0.00145559	0.02263868	0.19937843	0.92627847	1.97261077	1.51014534
2.71771772	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000100	0.00004899	0.00133954	0.02113180	0.18922555	0.89656466	1.95465247	1.53915600
2.72272272	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000090	0.00004452	0.00123242	0.01971861	0.17951392	0.86735293	1.93564213	1.56755051
2.72772773	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000081	0.00004046	0.00113358	0.01839384	0.17022948	0.83866015	1.91562244	1.59528325
2.73273273	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000073	0.00003676	0.00104241	0.01715243	0.16135826	0.81050152	1.89463722	1.62230962
2.73773774	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000065	0.00003339	0.00095833	0.01598959	0.15288642	0.78289052	1.87273126	1.64858619
2.74274274	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000059	0.00003032	0.00088081	0.01490078	0.14480028	0.75583904	1.84995017	1.67407081
2.74774775	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000053	0.00002753	0.00080936	0.01388167	0.13708632	0.72935739	1.82634027	1.69872274
2.75275275	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000047	0.00002500	0.00074353	0.01292816	0.12973124	0.70345434	1.80194842	1.72250272
2.75775776	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000043	0.00002269	0.00068289	0.01203637	0.12272193	0.67813720	1.77682189	1.74537312
